normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc,product_id,run_id,product_kind,attr_brand,attr_dosage_form,attr_dosage,attr_administration_route,semantic_explanation,qwen_search_status,qwen_search_mnn
"МОКСОНИДИН-АЛИУМ ТАБЛ. П/ПЛЕН/ОБ. 0,2МГ №14 | АЛИУМ АО | АЛИУМ АО",Моксонидин,rx,,,Моксонидин,rx,,,Моксонидин,rx,,,Моксонидин,rx,12735,355,drug,Моксонидин-Алиум,таблетки,"0,2 мг",перорально,"В наименовании указан МНН «Моксонидин», лекарственная форма «таблетки, покрытые пленочной оболочкой», дозировка 0,2 мг и упаковка №14. Моксонидин — рецептурный гипотензивный препарат для взрослых.",found,моксонидин
"МОКСОНИДИН-АКРИХИН ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №10 | АКРИХИН ХФК АО | АКРИХИН ХФК АО",Моксонидин,рецептурный,Моксонидин,rx,,,,,Моксонидин,rx,,,Моксонидин,rx,12737,355,drug,Моксонидин-Акрихин,таблетки,"0,4 мг",перорально,"Препарат содержит моксонидин и относится к гипотензивным средствам для взрослых. Выпускается в таблетках, покрытых плёночной оболочкой, дозировкой 0,4 мг, в упаковке №10.",found,моксонидин
МИСУФЕР КАПС. 100МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,без рецепта,Умифеновир,otc,Умифеновир,otc,,,Умифеновир,otc,,,Умифеновир,otc,12869,355,drug,Мисуфер,капсулы,100 мг,перорально,"Препарат Мисуфер в капсулах по 100 мг, судя по названию и товарной группе, относится к препаратам железа. МНН в тексте не указано. Отпуск без рецепта, возрастная группа — взрослые.",found,умифеновир
МИРТАЗАПИН КАНОН ТАБЛ. П/ПЛЕН/ОБ. 30МГ №30 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,Миртазапин,rx,Миртазапин,rx,Миртазапин,rx,,,Миртазапин,rx,,,Миртазапин,rx,12873,355,drug,Миртазапин Канон,таблетки,30 мг,перорально,"Препарат содержит миртазапин, является антидепрессантом, отпускается по рецепту. Таблетки по 30 мг покрыты пленочной оболочкой, в упаковке 30 штук.",not_found,
МЕМОПЛАНТ ТАБЛ. П/ПЛЕН/ОБ. 80МГ №30 | ДОКТОР ВИЛЬМАР ШВАБЕ ГМБХ И КО.КГ. | ДОКТОР ВИЛЬМАР ШВАБЕ ГМБХ И КО.КГ.,,otc,Гинкго двулопастного листьев экстракт,otc,Гинкго двулопастного листьев экстракт,otc,,,Гинкго билоба,otc,,,Гинкго двулопастного листьев экстракт,otc,13489,356,drug,Мемоплант,таблетки,80 мг,перорально,"В тексте указаны торговое наименование, лекарственная форма, дозировка и количество в упаковке. Действующее вещество и нозология явно не приведены, поэтому не заполнены. Препарат принимается внутрь и отпускается без рецепта.",found,экстракт гинкго двулопастного
МЕРИФАТИН МВ ТАБЛ. С ПРОЛОНГ. ВЫСВ. 500МГ №60 | ФАРМАСИНТЕЗ-ТЮМЕНЬ ООО | ФАРМАСИНТЕЗ-ТЮМЕНЬ ООО,,rx,Метформин,rx,Метформин,rx,,,Метформин,rx,,,Метформин,rx,13453,355,drug,Мерифатин МВ,таблетки,500 мг,перорально,"Торговое название «Мерифатин МВ» и форма выпуска указывают на рецептурный сахароснижающий препарат для приёма внутрь в виде таблеток с пролонгированным высвобождением. Действующее вещество в тексте прямо не указано, поэтому МНН не заполнен.",found,Метформин
МЕЛЬДОНИЙ КАНОН КАПС. 250МГ №40 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,Мельдоний,rx,Леветирацетам,rx,Ламотриджин,rx,,,Клопидогрел,rx,,,,rx,13541,356,drug,Канон,капсулы,250 мг,перорально,"Из текста ясно, что действующее вещество — мельдоний, форма выпуска — капсулы, дозировка 250 мг, упаковка №40. Препарат рецептурный, применяется внутрь. Специальных детских указаний нет, поэтому возрастная группа — взрослые.",found,Мельдоний
МЕЛЬДОНИЙ КАПС. 250МГ №30 ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Мельдоний,rx,Мельдоний,otc,,,,,,,,,Мельдоний,,13540,356,drug,,капсулы,250 мг,перорально,"В тексте указан МНН мельдоний, лекарственная форма «капсулы», дозировка 250 мг и упаковка №30. Препарат кардиопротекторного действия, применяется внутрь, отпускается по рецепту.",found,мельдоний
МЕКСИКОР Р-Р ДЛЯ В/В В/М ВВЕД. 50МГ/МЛ АМП. 2МЛ №10 ФЕРМЕНТ | ФЕРМЕНТ ФИРМА ООО | ФЕРМЕНТ ФИРМА ООО,,rx,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,13653,356,drug,Мексикор,раствор,50 мг/мл,внутримышечно,"Препарат выпускается как раствор для инъекций в ампулах; из названия определяются путь введения и дозировка. МНН в тексте не указан, показания не описаны, поэтому эти поля не заполнены.",found,этилметилгидроксипиридина сукцинат
МЕКСИДОЛ ТАБЛ. П/ПЛЕН/ОБ. 125МГ №50 | ЗИО-ЗДОРОВЬЕ ЗАО | ЗИО-ЗДОРОВЬЕ ЗАО,,rx,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,13659,356,drug,Мексидол,таблетки,125 мг,перорально,"Препарат Мексидол в форме таблеток, покрытых плёночной оболочкой, дозировкой 125 мг, в упаковке 50 штук. МНН не указано в тексте, поэтому не заполнено. Препарат типичный для взрослых, без явных детских указаний.",found,этилметилгидроксипиридина сукцинат
МЕКСИДОЛ Р-Р ДЛЯ В/В В/М ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 ЭЛЛАРА | ЭЛЛАРА ООО | ЭЛЛАРА ООО,,rx,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,13664,356,drug,Мексидол,раствор,50 мг/мл,внутримышечно,"Препарат Мексидол является рецептурным лекарственным средством. Это раствор для внутривенного и внутримышечного введения в концентрации 50 мг/мл, в ампулах по 5 мл №10. МНН в тексте не указано, возрастная группа — взрослые.",not_found,
МАЛЬВАЦИД СУСП. Д/ПРИЕМА ВНУТРЬ ПАК. 15МЛ №20 | АВВА РУС АО | АВВА РУС АО,,безрецептурный,Алгелдрат + Бензокаин + Магния гидроксид,otc,,,,,Магния гидроксид,otc,,,"Магния гидроксид, Алгелдрат, Бензокаин",otc,14103,357,drug,Мальвацид,суспензия,,перорально,"Препарат представляет собой суспензию для приёма внутрь в пакетиках по 15 мл №20, по контексту относится к желудочно-кишечным средствам. Торговое название не позволяет однозначно установить действующее вещество, поэтому МНН и точная дозировка не указаны.",found,Алгелдрат + Магния гидроксид
МАКСИКОЛД РИНО ПОР. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АПЕЛЬСИН ПАК. 15Г №10 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,otc,Парацетамол + Фенилэфрин + Фенирамин + Аскорбиновая кислота,otc,Парацетамол+Фенилэфрин+Фенирамин+Аскорбиновая кислота,otc,,,,otc,,,"Аскорбиновая кислота, Парацетамол, Фенилэфрин, Фенирамин",otc,14162,357,drug,Максиколд Рино,порошок,15 г,перорально,"По названию и форме выпуска препарат относится к противопростудным средствам для приема внутрь. В тексте не указаны действующие вещества, поэтому МНН не определяется; указана масса пакетика 15 г и количество 10 пакетиков. Препарат отпускается без рецепта.",found,Парацетамол + Фенилэфрин + Фенирамин + Аскорбиновая кислота
Л-ТИРОКСИН ТАБЛ. 100МКГ №50 ОЗОН | ОЗОН ООО | ОЗОН ООО,,rx,Левотироксин натрия,rx,Левотироксин натрия,rx,,,Левотироксин натрия,rx,,,Левотироксин натрия,rx,14492,357,drug,Л-Тироксин,таблетки,100 мкг,перорально,"Препарат Л-Тироксин выпускается в форме таблеток по 100 мкг, упаковка №50. Действующее вещество в тексте как МНН явно не указано, поэтому МНН не заполнен. Левотироксин натрия относится к рецептурным тиреоидным гормонам.",found,Левотироксин натрия
ЛОРТЕНЗА ТАБЛ. П/ПЛЕН/ОБ. 10МГ+100МГ №90 | КРКА-РУС ООО | КРКА-РУС ООО,,рецептурный,,,Амлодипин + Лозартан,rx,,,Лозартан,rx,,,"Лозартан, Амлодипин",rx,14577,358,drug,ЛОРТЕНЗА,таблетки,10 мг + 100 мг,перорально,"Препарат ЛОРТЕНЗА выпускается в таблетках, покрытых пленочной оболочкой, содержит два компонента (10 мг + 100 мг), что указывает на комбинированное гипотензивное средство. Действующие вещества в тексте явно не названы, поэтому МНН не указан. Отпуск предположительно рецептурный, упаковка содержит 90 таблеток.",found,амлодипин + лозартан
ЛЕККЕР БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ Р-Р 1% ФЛ. С КИСТЬЮ 20МЛ | ЛЕККЕР ЗАО | ЛЕККЕР ЗАО,Бриллиантовый зелёный,otc,Йод + [Калия йодид + Этанол],otc,Йод,otc,,,,,,,"Йод, Калия йодид, Этанол",otc,15560,359,drug,Леккер,раствор,1%,наружно,"Препарат представляет собой спиртовой раствор бриллиантового зелёного для наружного применения. В названии указаны действующее вещество, концентрация 1% и форма выпуска во флаконе с кистью.",found,Бриллиантовый зеленый
ЛЕВОФЛОКСАЦИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 500МГ №10 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,левофлоксацин,rx,Метамизол натрия,otc,Парацетамол,otc,"Ацетилсалициловая кислота, Аскорбиновая кислота",,Розувастатин,rx,,,,otc,15745,359,drug,Реневал,таблетки,500 мг,перорально,"В тексте явно указаны МНН левофлоксацин, бренд Реневал, лекарственная форма — таблетки в пленочной оболочке, дозировка 500 мг и упаковка №10. Левофлоксацин — рецептурный антибиотик-фторхинолон для приема внутрь, применяется преимущественно у взрослых.",found,Левофлоксацин
ЛЕВОФЛОКСАЦИН-АКРИХИН ТАБЛ. П/ПЛЕН/ОБ. 500МГ №5 | АДИФАРМ ЕАД | АДИФАРМ ЕАД,Левофлоксацин,rx,Левофлоксацин,rx,,,,,Левофлоксацин,rx,,,Левофлоксацин,rx,15757,359,drug,Левофлоксацин-Акрихин,таблетки,500 мг,перорально,"Препарат содержит левофлоксацин 500 мг в форме таблеток, покрытых плёночной оболочкой, что явно указано в названии. Это рецептурный антибиотик для перорального применения, поэтому возрастной сегмент определён как взрослые.",found,Левофлоксацин
ЛЕВОКАРНИТИН Р-Р ДЛЯ В/В И В/М 100МГ/МЛ АМП. 5МЛ №10 ВЕЛФАРМ | Велфарм ООО | Велфарм ООО,Левокарнитин,rx,Левокарнитин,rx,,,,,,,,,Левокарнитин,,15797,359,drug,,раствор,100 мг/мл,внутримышечно,"В названии указано действующее вещество левокарнитин, лекарственная форма и концентрация. Препарат является инъекционным раствором, поэтому отнесён к рецептурным. Возрастной сегмент по умолчанию — взрослые.",found,левокарнитин
ЛАРИГАМА Р-Р ДЛЯ В/М ВВЕД. АМП. 2МЛ №10 | ГРОТЕКС ООО | ГРОТЕКС ООО,,рецептурный,Пиридоксин + Тиамин + Цианокобаламин + [Лидокаин],rx,Пиридоксин* + Тиамин* + Цианокобаламин* + Лидокаин,rx,,,,rx,,,"[Лидокаин], Пиридоксин, Тиамин, Цианокобаламин",rx,15921,359,drug,Ларигама,раствор,,внутримышечно,"Из текста извлечены торговое наименование, форма выпуска и путь введения. Действующее вещество и дозировка не указаны, поэтому МНН, дозировка и нозология не определены.",found,Пиридоксин+Тиамин+Цианокобаламин+Лидокаин
ЛАМОЛЕП ТАБЛ. 50МГ №30 | ГЕДЕОН РИХТЕР ОАО/ГЕДЕОН РИХТЕР-РУС АО | ГЕДЕОН РИХТЕР ОАО/ГЕДЕОН РИХТЕР-РУС АО,,рецептурный,Ламотриджин,rx,Ламотриджин,rx,,,Ламотриджин,rx,,,Ламотриджин,rx,15949,359,drug,Ламолеп,таблетки,50 мг,перорально,"Препарат Ламолеп в форме таблеток по 50 мг, применяется перорально. Относится к рецептурным лекарственным средствам для взрослых; активное вещество в тексте явно не указано.",found,ламотриджин
ЛАМИТОР ТАБЛ. 100МГ №50 | ТОРРЕНТ ФАРМАСЬЮТИКАЛС ЛТД | ТОРРЕНТ ФАРМАСЬЮТИКАЛС ЛТД,,рецептурный,Ламотриджин,rx,Ламотриджин,rx,,,Ламотриджин,rx,,,Ламотриджин,rx,15957,359,drug,ЛАМИТОР,таблетки,100 мг,перорально,"Препарат выпускается в форме таблеток по 100 мг, в упаковке №50; МНН в тексте не указан, поэтому оставлен пустым. Торговое название ЛАМИТОР относится к противосудорожным средствам, отпускаемым по рецепту. Возрастная группа выбрана как взрослые, так как детских указаний нет.",found,Ламотригин
"ЛАЗОЛВАН Р-Р Д/ПРИЕМА ВНУТРЬ И ИНГАЛ. 7,5МГ/МЛ ФЛ-КАП. 100МЛ | ИНСТИТУТ ДЕ АНГЕЛИ С.Р.Л. | ИНСТИТУТ ДЕ АНГЕЛИ С.Р.Л.",,безрецептурный,Амброксол,otc,Трамазолин,otc,,,Амброксол,otc,,,Амброксол,otc,16144,360,drug,Лазолван,раствор,"7,5 мг/мл",ингаляционно,"Лазолван — раствор для приема внутрь и ингаляций 7,5 мг/мл, показанный при кашле. Действующее вещество в тексте прямо не указано, поэтому МНН не заполнен. Возрастных уточнений нет, для типичного средства выбран взрослый сегмент.",found,амброксола гидрохлорид
"КСИЛЕН КАПЛИ НАЗ. 0,1% ФЛ-КАП. 20МЛ №4 | ВЕРОФАРМ ООО | ВЕРОФАРМ ООО",,otc,Ксилометазолин,otc,Ксилометазолин,otc,,,Декспантенол,otc,,,Ксилометазолин,otc,16411,361,drug,Ксилен,капли,"0,1%",назальный,"Препарат идентифицируется как назальные капли Ксилен; действующее вещество в тексте не указано, поэтому МНН не заполнен. Лекарственная форма, концентрация и объём упаковки читаются в названии. Поскольку это типичный безрецептурный деконгестант без детских указаний, возрастной сегмент определён как взрослые.",found,Ксилометазолин
КСИЗАЛ ТАБЛ. П/ПЛЕН/ОБ. 5МГ №10 | ЮСБ ФАРШИМ С.А. | ЮСБ ФАРШИМ С.А.,,otc,Левоцетиризин,otc,Левоцетиризин,otc,,,Левоцетиризин,otc,,,Левоцетиризин,otc,16419,361,drug,Ксизал,таблетки,5 мг,перорально,"По тексту идентифицирован бренд Ксизал, действующее вещество явно не указано, поэтому МНН оставлен пустым. Форма, дозировка и упаковка прочитаны из названия: таблетки 5 мг №10. Препарат относится к антигистаминным средствам и отпускается без рецепта.",found,Левоцетиризин
КРЕОН 25000 КАПС. КИШ/РАСТ. 25000ЕД №20 | ВЕРОФАРМ АО | ВЕРОФАРМ АО,,rx,Панкреатин,otc,Панкреатин,otc,,,Панкреатин,otc,,,Панкреатин,otc,16518,361,drug,Креон,капсулы,25000 ЕД,перорально,"Креон 25000 — ферментный препарат в кишечнорастворимых капсулах для приёма внутрь. МНН в тексте не указано, поэтому оставлено пустым. Рецептурный статус и возрастная группа определены по типу препарата.",found,Панкреатин
КОСТАРОКС ТАБЛ. П/ПЛЕН/ОБ. 90МГ №28 | КАДИЛА ФАРМАСЬЮТИКАЛЗ ЛИМИТЕД | КАДИЛА ФАРМАСЬЮТИКАЛЗ ЛИМИТЕД,,рецептурный,Эторикоксиб,rx,Эторикоксиб,rx,,,Эторикоксиб,rx,,,Эторикоксиб,rx,16640,361,drug,Костарокс,таблетки,90 мг,перорально,"Товар представляет собой таблетки в пленочной оболочке по 90 мг, упаковка 28 штук. Действующее вещество в имени не указано, поэтому МНН и комбинированность оставлены пустыми. Препарат типичен для взрослых, форма выпуска и дозировка читаются из названия.",found,Эторикоксиб
КОРДИАМИН КАПЛИ Д/ПРИЕМА ВНУТРЬ 25% ФЛ-КАП. 30МЛ ТЕХНОПАРК-ЦЕНТР | ТЕХНОПАРК-ЦЕНТР ООО | ТЕХНОПАРК-ЦЕНТР ООО,,,Никетамид,otc,Никетамид,otc,,,Никетамид,rx,,,Никетамид,otc,16703,361,drug,Кордиамин,капли,25%,перорально,"В тексте указаны торговое наименование (Кордиамин), лекарственная форма (капли), способ применения (внутрь) и дозировка (25%). МНН и терапевтический класс явно не указаны, поэтому эти атрибуты оставлены пустыми.",found,никометамид
"КО-ВАМЛОСЕТ ТАБЛ. П/ПЛЕН/ОБ. 5МГ+160МГ+12,5МГ №90 | КРКА-РУС ООО | КРКА-РУС ООО",,rx,,,Амлодипин* + Валсартан* + Гидрохлоротиазид,rx,,,,rx,,,"Амлодипин, Валсартан, Гидрохлоротиазид",rx,17254,362,drug,Ко-Вамлосет,таблетки,"5 мг + 160 мг + 12,5 мг",перорально,"В названии указана торговая марка Ко-Вамлосет и дозировка, но действующие вещества не названы, поэтому МНН оставлен пустым. Препарат относится к рецептурным комбинированным антигипертензивным средствам, принимаемым внутрь. Форма, дозировка и упаковка №90 указаны явно.",found,амлодипин + валсартан + гидрохлоротиазид
КЛЕНЗИТ-С ГЕЛЬ Д/НАРУЖ. ПРИМ. ТУБА 15Г | ГЛЕНМАРК ФАРМАСЬЮТИКАЛС ЛТД | ГЛЕНМАРК ФАРМАСЬЮТИКАЛС ЛТД,,рецептурный,Адапален + Клиндамицин,otc,Адапален* + Клиндамицин,otc,,,Клиндамицин,otc,,,"Клиндамицин, Адапален",otc,17447,363,drug,Клензит-С,гель,,наружно,"Препарат представлен как гель для наружного применения в тубе 15 г. По названию и типу продукта идентифицирован как комбинированный препарат для лечения акне, однако действующие вещества в тексте не указаны, поэтому МНН не заполнен.",found,адапален + клиндамицин
КЛЕНБУТЕРОЛ Р-Р Д/ПРИЕМА ВНУТРЬ 1МКГ/МЛ ФЛ. 100МЛ ОЗОН | ОЗОН ООО | ОЗОН ООО,Кленбутерол,rx,Кленбутерол,rx,,,,,,,,,Кленбутерол,,17453,363,drug,,раствор,1 мкг/мл,перорально,"По тексту определено действующее вещество кленбутерол, лекарственная форма — раствор для приема внутрь, дозировка 1 мкг/мл. Это бронхолитическое средство, отпускается по рецепту. Возраст явно не указан, для типичного ЛС выбран сегмент взрослые.",found,Кленбутерол
КЕТОТИФЕН СОФАРМА СИРОП 1МГ/5МЛ ФЛ. 100МЛ | СОФАРМА АО | СОФАРМА АО,кетотифен,rx,Кетотифен,rx,,,,,Кетотифен,rx,,,Кетотифен,rx,17599,363,drug,Кетотифен Софарма,сироп,1 мг/5 мл,перорально,"Препарат содержит действующее вещество кетотифен, что явно указано в названии. Лекарственная форма — сироп 1 мг/5 мл, применяется внутрь. Возрастных указаний в тексте нет, поэтому возрастной сегмент определён как взрослые.",found,кетотифен
КВАМАТЕЛ ТАБЛ. П/ПЛЕН/ОБ. 40МГ №14 | ГЕДЕОН РИХТЕР ОАО/ГЕДЕОН РИХТЕР-РУС АО | ГЕДЕОН РИХТЕР ОАО/ГЕДЕОН РИХТЕР-РУС АО,,rx,Фамотидин,rx,Фамотидин,rx,,,Фамотидин,rx,,,Фамотидин,rx,17770,363,drug,Квамател,таблетки,40 мг,перорально,"Квамател указан как таблетки в пленочной оболочке 40 мг №14, поэтому форма, дозировка, путь введения и упаковка определяются явно. МНН в тексте не приведено, поэтому оно не заполняется. Возрастных указаний нет, препарат типичный для взрослых, семейство ЖКТ позволяет отнести его к средствам для лечения заболеваний ЖКТ.",found,Фамотидин
КАШНОЛ ЭКСПЕКТОРАНТ СИРОП ФЛ. 200МЛ | ЛОК-БЕТА ФАРМАСЬЮТИКАЛС (И) ПВТ.ЛТД | ЛОК-БЕТА ФАРМАСЬЮТИКАЛС (И) ПВТ.ЛТД,,otc,Бромгексин + Гвайфенезин + Сальбутамол,rx,Бромгексин* + Гвайфенезин* + Сальбутамол,rx,,,Бромгексин,rx,,,"Бромгексин, Гвайфенезин, Сальбутамол",rx,17777,363,drug,Кашнол Экспекторант,сироп,,перорально,"Препарат идентифицирован как отхаркивающий сироп для приёма внутрь, но действующее вещество в тексте не указано, поэтому МНН и дозировка не определяются. Судя по форме выпуска и назначению, вероятен безрецептурный отпуск.",found,Бромгексин + Гвайфенезин + Сальбутамол
КАРИПАЗИМ ЛИОФ. Д/Р-РА Д/НАРУЖ. ПРИМ. 350ПЕ ФЛ. №1 ВИФИТЕХ | ВИФИТЕХ | ВИФИТЕХ,,rx,Папайи млечный сок,rx,Папайи млечный сок,rx,,,Папаин,rx,,,Папайи млечный сок,rx,17852,363,drug,Карипазим,лиофилизат,350 ПЕ,наружно,"Препарат представляет собой лиофилизат для наружного применения с дозировкой 350 ПЕ во флаконе №1. Относится к ферментным средствам; активное вещество в тексте явно не названо, поэтому МНН не указан. Вероятен отпуск по рецепту.",found,Папайи млечного сока экстракт
КАПСИКУМ-ПЛЮС ГРАН. ГОМЕОПАТ. ФЛ. 20Г | ДОКТОР Н ООО | ДОКТОР Н ООО,,otc,,otc,,otc,,,,otc,,,,otc,17984,364,drug,Капсикум-плюс,гранулы,,перорально,"Гомеопатический препарат в гранулах, применяемый внутрь. В тексте отсутствует МНН и заявленное терапевтическое действие, поэтому часть атрибутов не заполнена.",not_found,
КАМИСТАД ГЕЛЬ Д/МЕСТН. ПРИМ. 20МГ/Г+185МГ/Г ТУБА 10Г | ШТАДА | ШТАДА,,otc,,,,otc,,,Лидокаин,otc,,,Лидокаин,otc,18152,364,drug,Камистад,гель,20 мг/г + 185 мг/г,,"Текст содержит торговое название, форму «гель», местное применение, концентрации 20 мг/г + 185 мг/г и упаковку «туба 10 г». Действующие вещества не названы явно, поэтому МНН не указан. Препарат стоматологический и относится к безрецептурным.",found,лидокаин + экстракт ромашки
КАЛИЯ ОРОТАТ ТАБЛ. 500МГ №10 АВВА РУС | АВВА РУС | АВВА РУС,Калия оротат,otc,,,,,,,,,,,,,18278,364,drug,,таблетки,500 мг,перорально,"Препарат Калия оротат в таблетках 500 мг, производитель АВВА РУС. Относится к метаболическим средствам, принимается внутрь. Возрастных указаний нет, поэтому типично для взрослых.",found,Оротовая кислота
КАГОЦЕЛ ТАБЛ. 12МГ №30 | НИАРМЕДИК ПЛЮС ООО/НИАРМЕДИК ФАРМА ООО | НИАРМЕДИК ПЛЮС ООО/НИАРМЕДИК ФАРМА ООО,Кагоцел,без рецепта,Кагоцел,otc,,,,,,otc,,,Кагоцел,otc,18320,364,drug,Кагоцел,таблетки,12 мг,перорально,"Текст явно указывает на препарат Кагоцел в таблетках по 12 мг, упаковка №30. Это безрецептурное противовирусное средство, принимаемое внутрь, без детских указаний, поэтому возрастной сегмент — взрослые.",found,кагоцел
КАВИНТОН КОНЦ. Д/Р-РА Д/ИНФ. 5МГ/МЛ АМП. 5МЛ №10 | ГЕДЕОН РИХТЕР ОАО | ГЕДЕОН РИХТЕР ОАО,,rx,Винпоцетин,rx,Винпоцетин,rx,,,Винпоцетин,rx,,,Винпоцетин,rx,18327,364,drug,Кавинтон,раствор,5 мг/мл,внутривенно,"Текст содержит торговое название Кавинтон, действующее вещество явно не указано, поэтому МНН не определяется. Форма выпуска — концентрат для приготовления раствора для инфузий в ампулах 5 мл №10, путь введения внутривенный. Препарат относится к средствам, улучшающим мозговое кровообращение.",found,Винпоцетин
ЙОХИМБИНА ГИДРОХЛОРИД ТАБЛ. 5МГ №50 | ЗДОРОВЬЕ ФАРМАЦЕВИЧЕСКАЯ КОМПАНИЯ ООО | ЗДОРОВЬЕ ФАРМАЦЕВИЧЕСКАЯ КОМПАНИЯ ООО,Йохимбин,rx,Йохимбина гидрохлорид,rx,,,,,,,,,Йохимбина гидрохлорид,,18349,364,drug,,таблетки,5 мг,перорально,"В наименовании указано действующее вещество йохимбин в форме гидрохлорида, форма выпуска — таблетки по 5 мг в упаковке №50. Препарат относится к урологическим средствам для лечения эректильной дисфункции и применяется внутрь у взрослых.",found,Йохимбина гидрохлорид
ИНВОКАНА ТАБЛ. П/ПЛЕН/ОБ. 100МГ №30 | ЯНССЕН ОРТО ЛЛС | ЯНССЕН ОРТО ЛЛС,,rx,Канаглифлозин,rx,Канаглифлозин,rx,,,Канаглифлозин,rx,,,Канаглифлозин,rx,18732,364,drug,Инвокана,таблетки,100 мг,перорально,"По тексту определены торговое наименование «Инвокана», лекарственная форма, дозировка и упаковка. МНН в тексте отсутствует, поэтому mnn=null. Препарат известен как рецептурное противодиабетическое средство для взрослых.",found,канаглифлозин
"ИЗАКАРДИН СПРЕЙ ПОДЪЯЗЫЧ. ДОЗИРОВ. 1,25МГ/ДОЗА ФЛ. 15МЛ 300ДОЗ ФАРМАМЕД | ФАРМАМЕД ООО | ФАРМАМЕД ООО",,rx,Изосорбида динитрат,rx,Изосорбида динитрат,rx,,,Изосорбида динитрат,rx,,,Изосорбида динитрат,rx,18837,366,drug,Изакардин,спрей,"1,25 мг/доза",сублингвально,"Препарат для сердечно-сосудистой системы в форме подъязычного дозированного спрея. В тексте нет явного МНН, поэтому вещество не указано. Форма, путь введения, дозировка и упаковка читаются из названия.",found,изосорбида динитрат
"ИГЛА IME-FINE УНИВЕРСАЛЬНАЯ ИНЪЕКЦИОННАЯ ОДНОРАЗОВАЯ ДЛЯ ИНСУЛИНОВЫХ ШПРИЦ-РУЧЕК 31G 0,26Х5ММ №100 | NINGBO CAREMED MEDICAL PRODUCTS | NINGBO CAREMED MEDICAL PRODUCTS | 31 G",,,,,,,,,,,,,,,18857,366,drug,IME-FINE,,"31G 0,26х5 мм",инъекционное,"Товар — одноразовая инъекционная игла для инсулиновых шприц-ручек, поэтому МНН и нозология неприменимы. Из текста определены размер 31G 0,26х5 мм и упаковка 100 штук; возрастной признак отсутствует.",not_found,
ИВАБРАДИН ТАБЛ. П/ПЛЕН/ОБ. 5МГ №56 ОЗОН | ОЗОН ООО | ОЗОН ООО,Ивабрадин,rx,Ивабрадин,rx,,,,,,,,,Ивабрадин,,18866,366,drug,,таблетки,5 мг,перорально,"В тексте явно указано действующее вещество ивабрадин, форма выпуска и дозировка. Препарат отпускается по рецепту и применяется у взрослых.",found,Ивабрадин
ЗОВИРАКС ТАБЛ. 200МГ №25 | ГЛАКСО ВЭЛЛКОМ С.А. | ГЛАКСО ВЭЛЛКОМ С.А.,,рецептурный,Ацикловир,rx,Ацикловир,rx,,,Ацикловир,rx,,,Ацикловир,rx,19072,366,drug,Зовиракс,таблетки,200 мг,перорально,"В тексте указан бренд Зовиракс, форма «таблетки», дозировка 200 мг и упаковка №25. Действующее вещество явно не указано, поэтому МНН не заполнен. Препарат относится к системным противовирусным средствам для лечения герпетических инфекций.",found,ацикловир
ЗИРТЕК КАПЛИ Д/ПРИЕМА ВНУТРЬ 10МГ/МЛ ФЛ-КАП. 20МЛ | ЭЙСИКА ФАРМАСЬЮТИКАЛЗ С.Р.Л. | ЭЙСИКА ФАРМАСЬЮТИКАЛЗ С.Р.Л.,,otc,Цетиризин,otc,Цетиризин,otc,,,Цетиризин,otc,,,Цетиризин,otc,19082,366,drug,Зиртек,капли,10 мг/мл,перорально,"Из названия извлечены путь введения, лекарственная форма, дозировка и объём упаковки. Действующее вещество и терапевтический класс в тексте не указаны, поэтому mnn и nosology оставлены пустыми.",found,цетиризин
